step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
2048,5,0.987376,0.2,402.4,-0.019279880041722208,0.6323306877166033,2.024394355714321
4096,10,2.2284239999999995,0.3,356.2,-0.007956186338560656,0.8896525986492634,1.750410795211792
6144,16,2.40717,0.3125,348.75,-0.006142173457192257,1.2683299854397774,2.126762807369232
8192,21,2.163670476190476,0.2857142857142857,361.14285714285717,-0.010633181314915419,0.9150831997394562,1.979858674108982
10240,27,2.721724444444445,0.3333333333333333,345.77777777777777,-0.008651281939819455,1.1989946812391281,2.020796462893486
12288,34,2.982628235294118,0.35294117647058826,343.0882352941176,-0.011505572183523327,1.3290496617555618,1.995165430009365
14336,39,2.7560010256410257,0.3333333333333333,350.87179487179486,-0.010312151927792002,0.6771575063467026,2.2572536319494247
16384,45,2.806938666666666,0.3333333333333333,344.6222222222222,-0.009890815505059436,0.966277327388525,2.173815965652466
18432,55,3.4951556363636365,0.38181818181818183,319.56363636363636,-0.016528353793546557,2.3010076731443405,2.1340861469507217
20480,60,3.1778426666666673,0.35,322.73333333333335,-0.015540166350547224,0.2196709355339408,2.1098944544792175
22528,65,3.0373778461538463,0.3384615384615385,329.4923076923077,-0.01220353867392987,0.5663051214069128,2.180049702525139
24576,72,3.1613716666666667,0.3472222222222222,328.875,-0.015766198455821723,1.340204581618309,2.2055450826883316
26624,78,3.0189871794871794,0.3333333333333333,331.6666666666667,-0.011466545460280031,0.5715141575783491,2.211999475955963
28672,83,3.056670361445783,0.3373493975903614,333.9879518072289,-0.00978764018509537,0.9984623715281487,2.0908271819353104
30720,89,3.186145617977528,0.34831460674157305,332.64044943820227,-0.015181159775238484,1.3464819863438606,2.097151458263397
32768,93,2.9871384946236557,0.3333333333333333,339.83870967741933,-0.013591865077614784,0.18237322429195046,2.3346225321292877
34816,103,3.0780915999999996,0.34,327.1,-0.014858891197945923,1.2951880767941475,2.1780921667814255
36864,110,3.4868072,0.37,324.65,-0.01529267366277054,2.463802680373192,2.2534265518188477
38912,118,3.6356660000000005,0.38,320.56,-0.01758386305300519,1.7300909757614136,2.190912514925003
40960,123,3.5252344,0.37,322.87,-0.013591650465968996,0.21327158762142062,2.2049427777528763
43008,130,3.5449371999999992,0.37,317.19,-0.012156182201579213,1.2019269913434982,2.1904613822698593
45056,135,3.40618,0.36,320.33,-0.01291177210805472,0.5543129965662956,2.169943869113922
47104,142,3.4120443999999996,0.36,317.76,-0.011366033460944891,0.979137234389782,2.0965900868177414
49152,148,3.2574363999999996,0.35,323.71,-0.014524068566970527,0.9670313745737076,2.092978611588478
51200,153,3.1074216000000003,0.34,330.63,-0.011960728035774082,0.6032060738652945,1.950808472931385
53248,160,3.0582768000000002,0.34,334.97,-0.012775462470017374,1.0226122811436653,1.9106426239013672
55296,165,2.9315727999999996,0.33,336.32,-0.013377152907196432,0.12448406498879194,2.163872256875038
57344,171,2.7742496000000005,0.32,338.88,-0.010285491385729983,0.8760912194848061,2.1952865570783615
59392,176,2.9229715999999994,0.33,335.03,-0.016726581583498046,0.9556264504790306,2.2202580720186234
61440,180,2.7741480000000007,0.32,338.68,-0.014064864895772189,0.09105824772268534,2.245339125394821
63488,184,2.6647492,0.31,342.92,-0.017495712148956954,0.08423921698704362,2.2432713508605957
