step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
2048,72,3.9588727777777786,0.3472222222222222,27.09722222222222,-0.01891052018618211,7.430769562721252,2.4009165167808533
4096,179,4.2241808,0.37,17.73,-0.008139606565237045,10.439315557479858,2.4005523920059204
6144,253,4.2075092000000005,0.37,26.54,-0.016444413136923686,7.592544496059418,2.3989024609327316
8192,351,4.336004,0.38,17.42,-0.013704174605663866,9.556876838207245,2.403289258480072
10240,461,3.7682243999999994,0.33,20.33,-0.020212297909893095,8.657234132289886,2.3736112117767334
12288,537,4.3249896,0.38,18.94,-0.01626375422347337,8.027701050043106,2.408221408724785
14336,612,3.9784216,0.35,25.25,-0.017994912719586864,7.308660507202148,2.402184844017029
16384,666,3.6433560000000007,0.32,28.34,-0.011220379878068343,5.0685712695121765,2.4089598655700684
18432,771,3.2355932000000003,0.28,17.92,-0.021666413580533117,8.164629608392715,2.3418336659669876
20480,860,4.4492140000000004,0.39,21.77,-0.013870102324290201,9.562450289726257,2.399339333176613
22528,935,5.004012,0.44,25.9,-0.01712525903712958,7.957156747579575,2.3774390816688538
24576,1046,4.1210144,0.36,20.55,-0.018369023040577304,9.703131556510925,2.3496266156435013
26624,1137,3.9858371999999997,0.35,18.24,-0.01481312865507789,7.100050091743469,2.335835888981819
28672,1213,4.5248504,0.4,28.8,-0.014890370483044535,7.688807308673859,2.339552789926529
30720,1316,4.148157199999999,0.36,17.44,-0.01917134172981605,9.264331996440887,2.297526106238365
32768,1420,3.4281356,0.3,20.7,-0.020877001021290198,8.678958177566528,2.321652352809906
34816,1501,4.0921596,0.36,22.29,-0.017317355319391936,7.597889870405197,2.311641663312912
36864,1638,4.539585199999999,0.4,19.75,-0.015468649537069723,12.167181253433228,2.2910957783460617
38912,1746,4.344777200000001,0.38,18.26,-0.021676100383047014,9.74311250448227,2.2838307172060013
40960,1834,4.7786692,0.42,25.87,-0.01627097523305565,8.88305526971817,2.320166364312172
43008,1959,4.4435756,0.39,14.4,-0.019373389426618814,11.288086593151093,2.361521676182747
45056,2069,4.794986,0.42,16.05,-0.0196595179149881,10.26660567522049,2.356114774942398
47104,2134,4.0852976000000005,0.36,23.97,-0.011065688740927726,5.2666469514369965,2.3092275112867355
49152,2236,4.7835764,0.42,23.41,-0.018334869615500793,9.677579641342163,2.281832054257393
51200,2320,4.796058399999999,0.42,19.77,-0.014295620960183442,9.156527757644653,2.272928476333618
53248,2436,4.1265552,0.36,17.14,-0.019717798568308353,9.962712943553925,2.2731921821832657
55296,2527,4.114175599999999,0.36,19.73,-0.02111114823492244,8.310146480798721,2.2881729751825333
57344,2615,3.9089228000000005,0.34,26.73,-0.020687213458586484,8.245014667510986,2.2788105458021164
59392,2702,4.032414800000001,0.35,20.43,-0.02249093202408403,8.102285414934158,2.2683395445346832
61440,2794,4.3435972,0.38,20.47,-0.022444723173975945,8.106149345636368,2.226712942123413
63488,2886,3.9629003999999997,0.35,25.07,-0.020792146635358222,7.7085956037044525,2.277568683028221
65536,2969,4.223907999999999,0.37,21.77,-0.02211818378418684,7.366975367069244,2.1864231675863266
67584,3054,3.7951303999999997,0.33,20.93,-0.0227641574019799,7.006536543369293,2.2121467739343643
69632,3119,5.295715600000001,0.47,27.83,-0.015493098995648324,8.148747771978378,2.1771359592676163
71680,3193,4.8569455999999995,0.43,28.24,-0.019105103390756994,8.08537819981575,2.2264334410429
73728,3287,5.3991868,0.48,25.35,-0.023492754029575735,8.803447544574738,2.2191948741674423
