step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
2048,4,-1.6840499999999996,0.0,500.0,-0.01018749937065877,0.03267236988176592,2.541131928563118
4096,11,4.224065454545455,0.45454545454545453,289.3636363636364,-0.013526871160138398,2.187352105975151,2.5462535321712494
6144,17,5.277684705882353,0.5294117647058824,325.6470588235294,-0.01294357588631101,1.8178624510765076,2.5358168482780457
8192,23,4.626434782608697,0.4782608695652174,332.39130434782606,-0.011823032749816775,0.9562678039073944,2.5229061245918274
10240,28,4.891467142857143,0.5,342.5,-0.014924484567018226,1.2838530838489532,2.5191717445850372
12288,34,4.49278705882353,0.47058823529411764,349.38235294117646,-0.015658035088563338,1.0025732554495335,2.5145722031593323
14336,41,4.723625365853659,0.4878048780487805,327.8048780487805,-0.014983149652834982,1.5407315492630005,2.523133859038353
16384,49,4.766048979591837,0.4897959183673469,324.7142857142857,-0.013990793493576348,1.8567206785082817,2.5108368545770645
18432,58,4.87910827586207,0.5,309.5,-0.014039578527444974,1.9901020154356956,2.502877801656723
20480,62,4.663500000000001,0.4838709677419355,318.2096774193548,-0.01269395469716983,0.634341998025775,2.513126775622368
22528,66,4.294850909090909,0.45454545454545453,329.22727272727275,-0.011329925619065762,0.24002261366695166,2.5060318410396576
24576,70,3.9463525714285708,0.42857142857142855,338.98571428571427,-0.012115649384213611,0.14733396284282207,2.500188395380974
26624,77,4.286124155844155,0.45454545454545453,331.12987012987014,-0.011595499992836267,2.215364381670952,2.5055068731307983
28672,83,4.176604819277108,0.4457831325301205,331.4578313253012,-0.013222220470197499,0.9484133049845695,2.502328932285309
30720,93,4.666318279569892,0.4838709677419355,317.5376344086022,-0.014167105196975172,3.2017072439193726,2.495969995856285
32768,97,4.4093921649484535,0.4639175257731959,325.0618556701031,-0.011613388953264803,0.22049922915175557,2.5016221553087234
34816,105,4.8751071999999995,0.5,315.08,-0.017022636660840362,2.306581676006317,2.493752881884575
36864,111,4.615936799999999,0.48,325.89,-0.010770398774184287,0.8758807927370071,2.4818081855773926
38912,117,4.3491476,0.46,325.25,-0.008746681094635278,1.0023669935762882,2.482724353671074
40960,121,4.34779,0.46,328.25,-0.009077963972231373,0.5539896255359054,2.5098312348127365
43008,127,4.089629599999999,0.44,331.17,-0.012666722977883182,1.0010712686926126,2.520159512758255
45056,132,4.219469199999999,0.45,329.6,-0.011490261676954105,0.9722871445119381,2.500226393342018
47104,136,3.8374244000000006,0.42,343.96,-0.007617746072355658,0.12710632383823395,2.4967669546604156
49152,140,3.7060820000000008,0.41,352.6,-0.009127377823460847,0.5529883289709687,2.480788469314575
51200,146,3.6878891999999994,0.41,352.35,-0.009440988098504022,1.4489594548940659,2.5041216015815735
53248,150,3.5456220000000003,0.4,355.53,-0.01096538730780594,0.10076577146537602,2.5077316612005234
55296,154,3.284196,0.38,365.37,-0.011210058233700693,0.10805884003639221,2.4648885279893875
57344,158,2.9014860000000002,0.35,380.13,-0.009812382952077314,0.09633648116141558,2.5030752569437027
